Rank,Name,Revenue,Revenue in percentage,Profit,Profit in percentage,Assets,employees,years on global 500 list
82,Allianz,113517.7,-0.12,9233.3,0.303,1085900.2,157883,30
83,China Post Group,112778.5,0.023,5884.5,0.20199999999999999,2310571.9,728776,14
84,China Energy Investment,112048.7,-0.078,6339.1,0.11199999999999999,294883.2,309037,15
85,Xiamen C&D,110665.6,-0.122,1057.6,1.328,125003.2,62740,8
86,Reliance Industries,108877.9,-0.006,8412.5,0.013000000000000001,210698.9,347000,21
87,Goldman Sachs Group,108418.0,0.578,8516.0,-0.244,1641594.0,45300,25
88,Freddie Mac,108050.0,0.24600000000000002,10538.0,0.13,3280976.0,8020,28
89,Rosneft Oil,107543.1,0.24600000000000002,14870.4,0.13,209569.9,323900,18
90,Target,107412.0,-0.016,4138.0,0.489,55356.0,415000,30
91,Equinor,107174.0,-0.289,11885.0,-0.5870000000000001,143580.0,23449,30
92,Humana,106374.0,0.145,2489.0,-0.113,47065.0,67600,26
93,SAIC Motor,105195.7,-0.049,1992.6,-0.168,141825.7,149505,13
94,State Farm Insurance,104198.6,0.16699999999999998,-6272.3,-0.168,339484.7,65054,30
95,Life Insurance Corp. of India,103547.6,0.051,4944.0,0.10300000000000001,637867.0,98463,3
96,Nestlé,103505.2,0.046,12475.4,0.285,150422.0,270000,30
97,Enel,103311.4,-0.301,3716.7,1.101,215621.8,61055,30
98,ENI,102501.7,-0.271,5157.7,-0.647,157506.1,33142,30
99,Petrobras,102409.0,-0.177,24884.0,-0.321,217067.0,46730,30
100,SK,101968.8,-0.038,-594.8,-1.699,159770.8,114950,9
101,E.ON,101280.1,-0.16699999999999998,558.9,-0.71,125365.6,72242,30
102,Gazprom,100252.5,-0.40299999999999997,-7383.4,-1.419,320303.3,492200,28
103,Huawei Investment & Holding,99470.3,0.042,12274.4,1.324,178026.6,207000,15
104,Société Générale,99163.4,0.564,2695.1,0.27,1716418.2,124089,28
105,Bosch,99020.7,0.067,2271.3,0.6609999999999999,119648.8,429416,30
106,COFCO,97765.1,-0.113,1270.3,-0.281,102941.0,111630,30
107,Itochu,97074.1,-0.057999999999999996,5547.5,-0.062,95818.7,136334,30
108,PowerChina,97034.9,-0.02,775.9,0.25,198668.8,184567,13
109,Pemex,96978.8,-0.182,457.1,-0.909,136067.6,128616,30
110,Tesla,96773.0,0.188,14997.0,0.19399999999999998,106618.0,140473,4
111,Morgan Stanley,96194.0,0.45899999999999996,9087.0,-0.17600000000000002,1193693.0,80006,27
112,Sinopharm,96072.2,0.021,1149.5,0.044000000000000004,82842.7,202426,12
113,Brookfield,95924.0,0.034,1130.0,-0.45,490095.0,240000,8
114,Royal Ahold Delhaize,95834.8,0.048,2025.9,-0.243,52817.5,232000,30
115,Johnson & Johnson,95195.0,0.003,35153.0,0.9590000000000001,167558.0,131900,24
116,Indian Oil,94273.0,-0.105,5042.3,3.135,57878.1,31942,30
117,Archer Daniels Midland,93935.0,-0.075,3483.0,-0.198,54631.0,41008,30
118,Crédit Agricole,93358.1,0.08,6862.6,0.2,2418155.5,75125,30
119,Christian Dior,93136.5,0.11800000000000001,6815.0,0.11800000000000001,155592.0,197141,24
120,NTT (Nippon Telegraph & Telephone),92539.7,-0.047,8853.1,-0.012,195769.2,338467,30
121,Mitsui,92196.4,-0.128,7359.7,-0.11900000000000001,111754.4,53602,30
122,Carrefour,91790.6,0.019,1793.5,0.265,62040.0,305333,30
123,PepsiCo,91471.0,0.059000000000000004,9074.0,0.018000000000000002,100495.0,318000,30
124,UPS,90958.0,-0.094,6708.0,-0.419,70857.0,382550,30
125,PTT,90418.7,-0.06,3221.1,0.237,100741.3,30772,21
126,AXA,90405.8,-0.171,7771.7,0.107,711783.7,94705,30
127,FedEx,90155.0,-0.036000000000000004,3972.0,0.038,87143.0,423228,30
128,Sony,90091.8,0.057,6715.5,-0.03,225548.8,113000,30
129,China FAW Group,89485.0,0.021,2864.2,-0.255,94499.6,119658,20
130,Engie,89257.7,-0.182,2387.0,9.507,214976.8,97297,29
131,Walt Disney,88898.0,0.075,2354.0,-0.252,205579.0,199125,30
132,Orlen,88717.6,0.423,4921.8,-0.34600000000000003,67205.5,66554,16
